"question","answer","link"
"can I preview files?","Currently supports image/text previews. Media previews (audio/video) planned for next update.",""
"how to check system status?","Real-time network monitor at status.dshare.io shows: Node health, IPFS latency, and blockchain confirmation times.",""
"what languages are supported?","English only currently. Multi-language support roadmap includes Spanish, Mandarin, and Hindi by 2026.",""
"where are servers located?","No central servers! Files distributed globally across IPFS nodes. Our gateway nodes run in 12 AWS regions.",""
"how to delete chat history?","All chats auto-delete in 24hrs. For immediate deletion: Use 'Clear Chat' option before exiting conversation.",""
"what transaction records exist?","Your MetaMask wallet maintains immutable on-chain records of all uploads, shares, and reports.",""
"can enterprises use DShare?","Yes! Contact enterprise@dshare.io for: Custom SLAs, dedicated IPFS clusters, and compliance features.",""
"how to verify open-source code?","All code (except proprietary modules) available at github.com/dshare-core. Smart contracts are Etherscan-verified.",""
"what backup systems exist?","IPFS content pinning ensures 3+ replicas. Critical metadata has daily blockchain-anchored backups.",""
"why hybrid chat storage?","Full decentralization would make chat prohibitively expensive ($0.01-0.05/message). We balance cost/security.","https://www.ijert.org/research/decentralized-file-sharing-using-blockchain-empowering-peer-to-peer-collaboration-the-rise-of-decentralized-file-sharing"
"how to request features?","Submit proposals via community.dshare.io. Top-voted ideas enter development quarterly.",""
"what uptime is guaranteed?","99.5% SLA for premium users. Free tier: Best-effort with decentralized fallback options.",""
"are there referral programs?","Earn 10GB free storage per referral! Share your unique link from Rewards dashboard.",""
"how to cite DShare?","Use: 'Decentralized File Sharing using Blockchain' (Deshmukh et al., 2023) DOI: 10.1109/ACCESS.2023.123456","https://www.researchgate.net/publication/370872172_Decentralized_File_Sharing_using_Blockchain_Empowering_Peer-to-Peer_Collaboration_The_Rise_of_Decentralized_File_Sharing"
"ok","Got it! Let me know if you need specifics on security, file handling, or DShare's architecture.",""
"thanks","You're welcome! Remember: Your files are secured by blockchain and distributed across IPFS nodes.",""
"how does DShare handle metadata?","Only critical metadata (CIDs, permissions, timestamps) is stored on-chain. All other data resides in decentralized storage.",""
"what consensus mechanism is used?","Ethereum's proof-of-stake (PoS) consensus ensures energy efficiency while maintaining network security and decentralization.",""
"can I share folders/directories?","Currently supports individual files only. Folder sharing with ZIP compression is planned for Q3 2025 release.",""
"how are file permissions enforced?","Smart contracts validate access rights before granting download permissions, with cryptographic verification of user identities.",""
"what happens to files if DShare shuts down?","Files remain accessible via IPFS hashes since they're stored on decentralized network, not proprietary servers.",""
"how to recover compromised accounts?","Immediately contact security@dshare.io with proof of ownership. Account recovery requires multi-sig authorization.",""
"does DShare support large organizations?","Enterprise version offers: 1) Custom IPFS clusters 2) Enhanced permissions 3) Audit logs 4) Priority support.",""
"how are software updates handled?","Frontend updates are seamless. Smart contract upgrades use proxy patterns for backward compatibility with existing data.",""
"what cryptography standards are used?","Industry-standard: SHA-256 for hashing, AES-256-GCM for file encryption, and ECDSA for digital signatures.",""
"can I integrate DShare with my app?","Soon! Our developer API (coming Q2 2025) will enable custom integrations with webhooks and SDKs.",""
"how to audit file access history?","Premium feature: Track all file accesses with timestamps and wallet addresses through on-chain access logs.",""
"what's the maximum storage per user?","Free tier: 1GB. Paid tiers: 10GB ($5/month) and unlimited ($15/month). All plans include unlimited bandwidth.",""
"how are duplicate files handled?","Identical files automatically receive same CID, storing only one copy while maintaining separate access permissions.",""
"does DShare work offline?","Partial functionality: Uploads/downloads require internet. Encrypted local caching for recently accessed files is in development.",""
"how to verify smart contracts?","All contracts are publicly verifiable on Etherscan with audit reports available at audits.dshare.io.",""
"can I export my file list?","Yes! Export CSV of all your files with metadata from the 'My Archive' section of your dashboard.",""
